gene_name,drug_name,interaction_source_db_name,interaction_score,interaction_type
GRIN3A,AV-101,ChEMBL,1,inhibitor
TUBB8,DAVUNETIDE,ChEMBL,1,modulator
IL23A,BRIAKINUMAB,ChEMBL,1,inhibitor
ITGA2B,ZALUNFIBAN,ChEMBL,1,inhibitor
CACNB1,PHLOROGLUCINOL,ChEMBL,1,blocker
P2RY12,TICLOPIDINE HYDROCHLORIDE,ChEMBL,1,inhibitor
GABRE,METHOHEXITAL SODIUM,ChEMBL,1,positive modulator
RXRG,MOFAROTENE,ChEMBL,1,modulator
SLC6A2,ORPHENADRINE HYDROCHLORIDE,ChEMBL,1,inhibitor
GABRG2,SEVOFLURANE,ChEMBL,1,positive modulator
TUBB2B,LEXIBULIN,ChEMBL,1,inhibitor
CSF1R,PEXIDARTINIB HYDROCHLORIDE,ChEMBL,1,inhibitor
GABRD,ETHCHLORVYNOL,ChEMBL,1,positive modulator
GABRQ,PRAZEPAM,ChEMBL,1,positive modulator
PDE4A,THEOPHYLLINE SODIUM GLYCINATE,ChEMBL,1,inhibitor
DRD2,SULPIRIDE,ChEMBL,1,inhibitor
SCN7A,DRONEDARONE HYDROCHLORIDE,ChEMBL,1,blocker
GABRA2,BREXANOLONE,ChEMBL,1,positive modulator
TUBB3,KOS-1584,ChEMBL,1,modulator
PDGFRB,IMATINIB,ChEMBL,1,inhibitor
TUBA1C,RG-7600,ChEMBL,1,inhibitor
RPSA,CLINDAMYCIN,ChEMBL,1,inhibitor
TUBA1B,FOSBRETABULIN TROMETHAMINE,ChEMBL,1,negative modulator
SCN7A,ORPHENADRINE HYDROCHLORIDE,ChEMBL,1,blocker
FGFR1,PD-0166285,ChEMBL,1,inhibitor
CA2,ACETAZOLAMIDE,ChEMBL,1,inhibitor
GABRA6,QUAZEPAM,ChEMBL,1,positive modulator
HTR2B,PRX-08066,ChEMBL,1,inhibitor
PRKCG,GSK-690693,ChEMBL,1,inhibitor
DRD2,DOMPERIDONE,ChEMBL,1,inhibitor
TUBA3C,KOS-1584,ChEMBL,1,modulator
SCN11A,CENOBAMATE,ChEMBL,1,inhibitor
TUBB4B,VINCRISTINE SULFATE,ChEMBL,1,inhibitor
SLC6A2,PHENDIMETRAZINE,ChEMBL,1,inhibitor
NR3C1,HYDROCORTISONE SODIUM PHOSPHATE,ChEMBL,1,agonist
GABRA1,QUAZEPAM,ChEMBL,1,positive modulator
TUBB6,CROLIBULIN,ChEMBL,1,inhibitor
OPRM1,CODEINE ANHYDROUS,ChEMBL,1,agonist
GABRP,GLUTETHIMIDE,ChEMBL,1,positive modulator
KCNH2,AZD1305,ChEMBL,1,blocker
PPARA,MURAGLITAZAR,ChEMBL,1,agonist
KDR,ALACIZUMAB PEGOL,ChEMBL,1,inhibitor
IL12B,RISANKIZUMAB,ChEMBL,1,inhibitor
RPE65,EMIXUSTAT HYDROCHLORIDE,ChEMBL,1,inhibitor
TUBA3E,ENFORTUMAB VEDOTIN-EJFV,ChEMBL,1,inhibitor
ERVW-4,DOLUTEGRAVIR SODIUM,ChEMBL,1,inhibitor
KCNH3,NERISPIRDINE,ChEMBL,1,blocker
GHSR,MACIMORELIN ACETATE,ChEMBL,1,agonist
SCN9A,QUINIDINE SULFATE,ChEMBL,1,blocker
TUBB,AZINTUXIZUMAB VEDOTIN,ChEMBL,1,inhibitor
MRPL36,RETAPAMULIN,ChEMBL,1,inhibitor
PIK3R3,AZD-6482,ChEMBL,1,inhibitor
CDK4,AT-7519,ChEMBL,1,inhibitor
CDK1,RGB-286638,ChEMBL,1,inhibitor
CXCR1,NAVARIXIN,ChEMBL,1,inhibitor
CACNA1F,AZD1305,ChEMBL,1,blocker
TGFB2,FRESOLIMUMAB,ChEMBL,1,inhibitor
GABRP,PENTOBARBITAL SODIUM,ChEMBL,1,positive modulator
POLE2,CYTARABINE,ChEMBL,1,inhibitor
GABRA2,TEMAZEPAM,ChEMBL,1,positive modulator
SCN1A,BENOXINATE HYDROCHLORIDE,ChEMBL,1,blocker
NR3C1,FLUOROMETHOLONE,ChEMBL,1,agonist
GABRP,CENOBAMATE,ChEMBL,1,positive modulator
NR1H3,ROVAZOLAC,ChEMBL,1,agonist
JAK1,NEZULCITINIB,ChEMBL,1,inhibitor
OPRM1,METHYLNALTREXONE,ChEMBL,1,inhibitor
SCN2A,TOCAINIDE HYDROCHLORIDE,ChEMBL,1,blocker
ESR1,MK-6913,ChEMBL,1,agonist
SRMS,TG100-801,ChEMBL,1,inhibitor
KCNJ11,NAMINIDIL,ChEMBL,1,potentiator
SLC6A2,DESVENLAFAXINE SUCCINATE,ChEMBL,1,inhibitor
ADRA1D,EPINEPHRINE BITARTRATE,ChEMBL,1,agonist
PIK3R2,PILARALISIB,ChEMBL,1,inhibitor
GABRA6,ETOMIDATE,ChEMBL,1,positive modulator
CACNG5,PHLOROGLUCINOL,ChEMBL,1,blocker
CUL4A,THALIDOMIDE,ChEMBL,1,inhibitor
TOP2A,GANCOTAMAB,ChEMBL,1,inhibitor
CACNA1H,SUVECALTAMIDE,ChEMBL,1,modulator
NTRK2,LAROTRECTINIB SULFATE,ChEMBL,1,inhibitor
CACNG3,PHLOROGLUCINOL,ChEMBL,1,blocker
APH1A,AVAGACESTAT,ChEMBL,1,inhibitor
HTR2C,FENFLURAMINE HYDROCHLORIDE,ChEMBL,1,agonist
BACE1,VERUBECESTAT,ChEMBL,1,inhibitor
IL17A,REMTOLUMAB,ChEMBL,1,inhibitor
HTR2A,ASENAPINE MALEATE,ChEMBL,1,inhibitor
NR3C1,HALCINONIDE,ChEMBL,1,agonist
ANGPT2,CVX-060,ChEMBL,1,inhibitor
CACNA1G,PHLOROGLUCINOL,ChEMBL,1,blocker
PIK3CD,AZD-8186,ChEMBL,1,inhibitor
HTR4,CLEBOPRIDE,ChEMBL,1,agonist
MKNK1,TOMIVOSERTIB,ChEMBL,1,inhibitor
TRHR,THYROTROPIN-RELEASING HORMONE,ChEMBL,1,agonist
HRH1,DESLORATADINE,ChEMBL,1,inhibitor
SLC12A3,CHLOROTHIAZIDE SODIUM,ChEMBL,1,inhibitor
SLC12A1,ETHACRYNATE SODIUM,ChEMBL,1,inhibitor
ADRB1,LEVOBETAXOLOL HYDROCHLORIDE,ChEMBL,1,inhibitor
SLC12A3,CHLORTHALIDONE,ChEMBL,1,inhibitor
PPARG,MESALAMINE,ChEMBL,1,agonist
KIT,PAZOPANIB,ChEMBL,1,inhibitor
SLC6A2,VENLAFAXINE HYDROCHLORIDE,ChEMBL,1,inhibitor
SLC5A2,CANAGLIFLOZIN,ChEMBL,1,inhibitor
CA4,ACETAZOLAMIDE,ChEMBL,1,inhibitor
GLP2R,TEDUGLUTIDE,ChEMBL,1,agonist
GABRG3,CIPEPOFOL,ChEMBL,1,agonist
PGR,DESOGESTREL,ChEMBL,1,agonist
TUBB2A,ADO-TRASTUZUMAB EMTANSINE,ChEMBL,1,inhibitor
TUBA4A,ADO-TRASTUZUMAB EMTANSINE,ChEMBL,1,inhibitor
TUBB,CABAZITAXEL,ChEMBL,1,inhibitor
TUBB8,CABAZITAXEL,ChEMBL,1,inhibitor
TUBB2B,VINCRISTINE SULFATE,ChEMBL,1,inhibitor
TUBA1A,VINCRISTINE SULFATE,ChEMBL,1,inhibitor
TUBB2B,VINORELBINE TARTRATE,ChEMBL,1,inhibitor
TUBB4B,VINBLASTINE SULFATE,ChEMBL,1,inhibitor
GRIN1,ACAMPROSATE CALCIUM,ChEMBL,1,inhibitor
GRIN2D,AMANTADINE HYDROCHLORIDE,ChEMBL,1,inhibitor
GRIN2B,AMANTADINE HYDROCHLORIDE,ChEMBL,1,inhibitor
GRIN2A,ACAMPROSATE CALCIUM,ChEMBL,1,inhibitor
GRIN2B,FELBAMATE,ChEMBL,1,inhibitor
ADRA2C,TETRAHYDROZOLINE HYDROCHLORIDE,ChEMBL,1,agonist
ADRA2C,NAPHAZOLINE HYDROCHLORIDE,ChEMBL,1,agonist
ADRA1A,NAPHAZOLINE HYDROCHLORIDE,ChEMBL,1,agonist
ADRA2A,AJMALICINE,ChEMBL,1,inhibitor
KDR,PAZOPANIB,ChEMBL,1,inhibitor
CACNA1S,NIMODIPINE,ChEMBL,1,blocker
AR,NANDROLONE DECANOATE,ChEMBL,1,agonist
ADRB2,NADOLOL,ChEMBL,1,inhibitor
COL6A3,OCRIPLASMIN,ChEMBL,1,cleavage
COL4A4,OCRIPLASMIN,ChEMBL,1,cleavage
COL5A3,OCRIPLASMIN,ChEMBL,1,cleavage
CHRM2,TOLTERODINE,ChEMBL,1,inhibitor
GABRG1,CHLORDIAZEPOXIDE HYDROCHLORIDE,ChEMBL,1,positive modulator
GABRE,CHLORDIAZEPOXIDE HYDROCHLORIDE,ChEMBL,1,positive modulator
GABRE,CHLORDIAZEPOXIDE,ChEMBL,1,positive modulator
GABRG3,CHLORDIAZEPOXIDE HYDROCHLORIDE,ChEMBL,1,positive modulator
GABRA6,CHLORDIAZEPOXIDE,ChEMBL,1,positive modulator
GABRA1,ALPRAZOLAM,ChEMBL,1,positive modulator
GABRA4,ETHCHLORVYNOL,ChEMBL,1,positive modulator
GABRA6,METHOHEXITAL SODIUM,ChEMBL,1,positive modulator
GABRP,METHOHEXITAL SODIUM,ChEMBL,1,positive modulator
GABRA2,MIDAZOLAM HYDROCHLORIDE,ChEMBL,1,positive modulator
GABRA3,QUAZEPAM,ChEMBL,1,positive modulator
GABRB2,QUAZEPAM,ChEMBL,1,positive modulator
MRPL36,OXYTETRACYCLINE ANHYDROUS,ChEMBL,1,inhibitor
GABRG2,QUAZEPAM,ChEMBL,1,positive modulator
GABRB2,TEMAZEPAM,ChEMBL,1,positive modulator
GABRA5,ISOFLURANE,ChEMBL,1,positive modulator
CDK8,PHA-793887,ChEMBL,1,inhibitor
RPSA,DALFOPRISTIN,ChEMBL,1,inhibitor
MRPL36,SPECTINOMYCIN HYDROCHLORIDE,ChEMBL,1,inhibitor
CACNA1S,GABAPENTIN ENACARBIL,ChEMBL,1,modulator
CACNA1E,GABAPENTIN ENACARBIL,ChEMBL,1,modulator
CACNA1A,GABAPENTIN ENACARBIL,ChEMBL,1,modulator
CACNA2D4,GABAPENTIN ENACARBIL,ChEMBL,1,modulator
CACNA1H,GABAPENTIN ENACARBIL,ChEMBL,1,modulator
SCN4A,CHLOROPROCAINE,ChEMBL,1,blocker
SCN5A,CHLOROPROCAINE,ChEMBL,1,blocker
SCN11A,CHLOROPROCAINE,ChEMBL,1,blocker
SCN10A,CHLOROPROCAINE,ChEMBL,1,blocker
SCN8A,CHLOROPROCAINE,ChEMBL,1,blocker
SCN10A,PROCAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN3A,PROCAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN2A,MEPHENYTOIN,ChEMBL,1,blocker
SCN1A,PROCAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN1A,MEPHENYTOIN,ChEMBL,1,blocker
SCN9A,TETRACAINE,ChEMBL,1,blocker
SCN2A,TETRACAINE,ChEMBL,1,blocker
SCN4A,MEPIVACAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN7A,TOCAINIDE HYDROCHLORIDE,ChEMBL,1,blocker
SCN9A,TOCAINIDE HYDROCHLORIDE,ChEMBL,1,blocker
ADRA2B,EPINEPHRINE BITARTRATE,ChEMBL,1,agonist
ADRA1B,EPINEPHRINE BITARTRATE,ChEMBL,1,agonist
SCN10A,ZONISAMIDE,ChEMBL,1,blocker
CACNA1H,METHSUXIMIDE,ChEMBL,1,blocker
FGFR2,NINTEDANIB ESYLATE,ChEMBL,1,inhibitor
MME,SACUBITRIL,ChEMBL,1,inhibitor
KRAS,PARITAPREVIR,ChEMBL,1,inhibitor
PDE4B,OXTRIPHYLLINE,ChEMBL,1,inhibitor
PSMB5,IXAZOMIB CITRATE,ChEMBL,1,inhibitor
ADORA2B,OXTRIPHYLLINE,ChEMBL,1,inhibitor
PSMA6,IXAZOMIB CITRATE,ChEMBL,1,inhibitor
PSMA5,IXAZOMIB CITRATE,ChEMBL,1,inhibitor
HDAC6,FIMEPINOSTAT,ChEMBL,1,inhibitor
PIK3CA,FIMEPINOSTAT,ChEMBL,1,inhibitor
HDAC8,FIMEPINOSTAT,ChEMBL,1,inhibitor
PIK3CB,FIMEPINOSTAT,ChEMBL,1,inhibitor
HDAC3,FIMEPINOSTAT,ChEMBL,1,inhibitor
MTOR,DS-7423,ChEMBL,1,inhibitor
PRKACG,GSK-690693,ChEMBL,1,inhibitor
AKT3,GSK-690693,ChEMBL,1,inhibitor
PRKCH,GSK-690693,ChEMBL,1,inhibitor
PRKCB,GSK-690693,ChEMBL,1,inhibitor
AURKB,KW-2449,ChEMBL,1,inhibitor
FLT3,KW-2449,ChEMBL,1,inhibitor
PIK3R1,PAXALISIB,ChEMBL,1,inhibitor
CCND1,BRICICLIB,ChEMBL,1,inhibitor
FZD2,VANTICTUMAB,ChEMBL,1,inhibitor
MLNR,ATILMOTIN,ChEMBL,1,agonist
FZD1,VANTICTUMAB,ChEMBL,1,inhibitor
PLK4,RG-1530,ChEMBL,1,inhibitor
SCN7A,EVENAMIDE,ChEMBL,1,blocker
PIK3R5,VOXTALISIB,ChEMBL,1,inhibitor
PIK3CD,VOXTALISIB,ChEMBL,1,inhibitor
PIK3R5,PILARALISIB,ChEMBL,1,inhibitor
PIK3CG,VOXTALISIB,ChEMBL,1,inhibitor
PRKCG,UCN-01,ChEMBL,1,inhibitor
PRKCZ,UCN-01,ChEMBL,1,inhibitor
MAPK14,VX-702,ChEMBL,1,inhibitor
PRKD3,UCN-01,ChEMBL,1,inhibitor
OPRD1,ODELEPRAN,ChEMBL,1,inhibitor
HCRTR2,LEMBOREXANT,ChEMBL,1,inhibitor
GRM5,AZD2516,ChEMBL,1,negative modulator
SLC22A8,PRATOSARTAN,ChEMBL,1,inhibitor
CNR1,SURINABANT,ChEMBL,1,inhibitor
TACR1,VOFOPITANT,ChEMBL,1,inhibitor
AVPR1A,RELCOVAPTAN,ChEMBL,1,inhibitor
OPRM1,FRAKEFAMIDE,ChEMBL,1,agonist
GRIN2C,GW468816,ChEMBL,1,inhibitor
CACNA1C,AZD1305,ChEMBL,1,blocker
CACNA1B,CNV2197944,ChEMBL,1,blocker
CHRNA7,SSR180711,ChEMBL,1,agonist
GRIN1,TRAXOPRODIL,ChEMBL,1,inhibitor
KCNA4,NERISPIRDINE,ChEMBL,1,blocker
SCN8A,NERISPIRDINE,ChEMBL,1,blocker
SCN1A,NERISPIRDINE,ChEMBL,1,blocker
KCNC4,NERISPIRDINE,ChEMBL,1,blocker
SCN11A,NERISPIRDINE,ChEMBL,1,blocker
SCN2A,NERISPIRDINE,ChEMBL,1,blocker
EGFR,OSIMERTINIB,ChEMBL,1,inhibitor
FLT3,PACRITINIB,ChEMBL,1,inhibitor
PDGFRB,VATALANIB,ChEMBL,1,inhibitor
SYK,FOSTAMATINIB,ChEMBL,1,inhibitor
DRD3,SARIZOTAN HYDROCHLORIDE,ChEMBL,1,agonist
HTR2A,ESMIRTAZAPINE MALEATE,ChEMBL,1,inhibitor
CNR1,TARANABANT,ChEMBL,1,inverse agonist
PTGIR,ESUBERAPROST,ChEMBL,1,agonist
OPRM1,NALDEMEDINE,ChEMBL,1,inhibitor
HTR2C,ESMIRTAZAPINE MALEATE,ChEMBL,1,inhibitor
MAOB,RALFINAMIDE,ChEMBL,1,inhibitor
HTR2A,IFERANSERIN,ChEMBL,1,inhibitor
DRD2,PRIDOPIDINE,ChEMBL,1,modulator
KCNQ5,FLINDOKALNER,ChEMBL,1,activator
CHRM3,DICYCLOMINE HYDROCHLORIDE,ChEMBL,1,inhibitor
KCNQ4,FLINDOKALNER,ChEMBL,1,activator
MMP12,MARIMASTAT,ChEMBL,1,inhibitor
CHRNA4,DEXMECAMYLAMINE,ChEMBL,1,inhibitor
SCN11A,RALFINAMIDE,ChEMBL,1,blocker
GRIN2C,RALFINAMIDE,ChEMBL,1,inhibitor
SCN8A,RALFINAMIDE,ChEMBL,1,blocker
SCN2A,RALFINAMIDE,ChEMBL,1,blocker
NGF,FULRANUMAB,ChEMBL,1,inhibitor
ERBB3,PATRITUMAB,ChEMBL,1,inhibitor
CD33,LINTUZUMAB,ChEMBL,1,other/unknown
TGFB2,LERDELIMUMAB,ChEMBL,1,inhibitor
HTR6,INTEPIRDINE,ChEMBL,1,inhibitor
TUBB2A,CROLIBULIN,ChEMBL,1,inhibitor
TUBB8,CROLIBULIN,ChEMBL,1,inhibitor
TUBB4B,CROLIBULIN,ChEMBL,1,inhibitor
TUBA1C,FOSBRETABULIN TROMETHAMINE,ChEMBL,1,negative modulator
TUBA1A,FOSBRETABULIN TROMETHAMINE,ChEMBL,1,negative modulator
TUBB1,FOSBRETABULIN TROMETHAMINE,ChEMBL,1,negative modulator
TUBB,FOSBRETABULIN DISODIUM,ChEMBL,1,inhibitor
NR1H4,TROPIFEXOR,ChEMBL,1,agonist
TUBB3,FOSBRETABULIN DISODIUM,ChEMBL,1,inhibitor
TUBA1A,FOSBRETABULIN DISODIUM,ChEMBL,1,inhibitor
TUBB2A,FOSBRETABULIN TROMETHAMINE,ChEMBL,1,negative modulator
TUBB2B,FOSBRETABULIN DISODIUM,ChEMBL,1,inhibitor
TUBB2A,FOSBRETABULIN DISODIUM,ChEMBL,1,inhibitor
TUBB8,FOSBRETABULIN TROMETHAMINE,ChEMBL,1,negative modulator
TUBB6,FOSBRETABULIN TROMETHAMINE,ChEMBL,1,negative modulator
KIF11,LITRONESIB,ChEMBL,1,inhibitor
ERBB2,ERTUMAXOMAB,ChEMBL,1,modulator
ERVK-20,AD-159,ChEMBL,1,inhibitor
MRPL36,DIHYDROSTREPTOMYCIN SULFATE,ChEMBL,1,inhibitor
GABRB3,METHAQUALONE HYDROCHLORIDE,ChEMBL,1,positive modulator
GABRG2,METHAQUALONE HYDROCHLORIDE,ChEMBL,1,positive modulator
GABRD,METHAQUALONE HYDROCHLORIDE,ChEMBL,1,positive modulator
GABRA6,METHAQUALONE HYDROCHLORIDE,ChEMBL,1,positive modulator
CPT1B,PERHEXILINE MALEATE,ChEMBL,1,inhibitor
CACNA1E,SULOCTIDIL,ChEMBL,1,blocker
CACNA2D1,SULOCTIDIL,ChEMBL,1,blocker
CACNB4,SULOCTIDIL,ChEMBL,1,blocker
HTR4,ZIMELDINE HYDROCHLORIDE,ChEMBL,1,inhibitor
CACNG4,SULOCTIDIL,ChEMBL,1,blocker
CACNG8,SULOCTIDIL,ChEMBL,1,blocker
HTR7,ZIMELDINE HYDROCHLORIDE,ChEMBL,1,inhibitor
HTR2C,ZIMELDINE HYDROCHLORIDE,ChEMBL,1,inhibitor
CD22,EPRATUZUMAB,ChEMBL,1,inhibitor
TNFRSF10B,APOMAB,ChEMBL,1,agonist
FOLH1,J591 177LU,ChEMBL,1,binder
HTR2B,AMISULPRIDE,ChEMBL,1,inhibitor
HTR3C,AMISULPRIDE,ChEMBL,1,inhibitor
HTR2B,CLOTHIAPINE,ChEMBL,1,inhibitor
HTR2C,CLOTHIAPINE,ChEMBL,1,inhibitor
CD44,BIVATUZUMAB,ChEMBL,1,binder
ADRA2C,VASOACTIVE INTESTINAL PEPTIDE,ChEMBL,1,inhibitor
ADRA1D,VASOACTIVE INTESTINAL PEPTIDE,ChEMBL,1,inhibitor
KRAS,SOVAPREVIR,ChEMBL,1,inhibitor
ADRA1B,VASOACTIVE INTESTINAL PEPTIDE,ChEMBL,1,inhibitor
SLAMF7,AZINTUXIZUMAB VEDOTIN,ChEMBL,1,binder
CACNA1S,NILVADIPINE,ChEMBL,1,blocker
CACNA1F,NILVADIPINE,ChEMBL,1,blocker
IRAK4,ZIMLOVISERTIB,ChEMBL,1,inhibitor
GUCY1B2,OLINCIGUAT,ChEMBL,1,positive modulator
PDE4B,TETOMILAST,ChEMBL,1,inhibitor
RPSA,RADEZOLID,ChEMBL,1,inhibitor
TTR,ACORAMIDIS,ChEMBL,1,modulator
BLOC1S6,BALOXAVIR,ChEMBL,1,inhibitor
SLC6A4,TESOFENSINE,ChEMBL,1,inhibitor
SLC6A2,TESOFENSINE,ChEMBL,1,inhibitor
GABRA1,ZOPICLONE,ChEMBL,1,positive modulator
ASGR1,VUPANORSEN SODIUM,ChEMBL,1,binder
GUCY1B2,ATACIGUAT,ChEMBL,1,activator
GUCY1B1,ATACIGUAT,ChEMBL,1,activator
TUBB6,ENFORTUMAB VEDOTIN-EJFV,ChEMBL,1,inhibitor
TUBB2A,ENFORTUMAB VEDOTIN-EJFV,ChEMBL,1,inhibitor
TUBB,ENFORTUMAB VEDOTIN-EJFV,ChEMBL,1,inhibitor
GLP2R,FE 203799,ChEMBL,1,agonist
LTA4H,ACEBILUSTAT,ChEMBL,1,inhibitor
ICOS,VOPRATELIMAB,ChEMBL,1,agonist
CD40,CDX-1140,ChEMBL,1,agonist
NPR2,CARPERITIDE,ChEMBL,1,agonist
MRPL36,SPIRAMYCIN,ChEMBL,1,inhibitor
TGFA,FEPIXNEBART,ChEMBL,1,inhibitor
CTNNB1,PRI-724,ChEMBL,1,inhibitor
MMP3,CTS-1027,ChEMBL,1,inhibitor
BTK,EDRALBRUTINIB,ChEMBL,1,inhibitor
IL17A,VUNAKIZUMAB,ChEMBL,1,inhibitor
HTR3D,PUMOSETRAG,ChEMBL,1,agonist
CD274,SOCAZOLIMAB,ChEMBL,1,inhibitor
IL18R1,IBOCTADEKIN,ChEMBL,1,agonist
EEF2,RESIMMUNE,ChEMBL,1,inhibitor
IMPDH2,MYCOPHENOLATE SODIUM,ChEMBL,1,inhibitor
PARP1,E-7016,ChEMBL,1,inhibitor
IL10RB,EFLEPEDOCOKIN ALFA,ChEMBL,1,agonist
TUBB1,MILATAXEL,ChEMBL,1,inhibitor
TUBA1A,MILATAXEL,ChEMBL,1,inhibitor
S1PR2,FINGOLIMOD LAURYL SULFATE,ChEMBL,1,binder
JAK2,NEZULCITINIB,ChEMBL,1,inhibitor
TUBB2B,INDUSATUMAB VEDOTIN,ChEMBL,1,inhibitor
TUBA3E,APRUTUMAB IXADOTIN,ChEMBL,1,inhibitor
SSTR1,SOMATOSTATIN,ChEMBL,1,agonist
TUBA1A,COLCHICINE,ChEMBL,1,inhibitor
GRIN3B,RAPASTINEL,ChEMBL,1,agonist
TUBB3,PACLITAXEL,ChEMBL,1,inhibitor
AKT3,MK-2206,ChEMBL,1,inhibitor
CALCRL,RIMEGEPANT,ChEMBL,1,inhibitor
PTGS1,TOLMETIN SODIUM,ChEMBL,1,inhibitor
GABRP,HALAZEPAM,ChEMBL,1,positive modulator
TYMS,CAPECITABINE,ChEMBL,1,inhibitor
GABRG1,GANAXOLONE,ChEMBL,1,positive modulator
GABRG2,PADSEVONIL,ChEMBL,1,agonist
ATP4A,PANTOPRAZOLE SODIUM,ChEMBL,1,inhibitor
GABRQ,SEVOFLURANE,ChEMBL,1,positive modulator
GABRP,METHAQUALONE,ChEMBL,1,positive modulator
KDR,TAS-115,ChEMBL,1,inhibitor
MAOA,PROXIBARBAL,ChEMBL,1,activator
GABRB1,PROPOFOL,ChEMBL,1,positive modulator
MS4A1,VELTUZUMAB,ChEMBL,1,binder
NR3C2,FELODIPINE,ChEMBL,1,inhibitor
CEACAM5,COL-1,ChEMBL,1,binder
HRH1,PYRILAMINE MALEATE,ChEMBL,1,inhibitor
HRH1,TRIPELENNAMINE HYDROCHLORIDE,ChEMBL,1,inhibitor
HRH1,AZATADINE MALEATE,ChEMBL,1,inhibitor
HRH1,BUCLIZINE HYDROCHLORIDE,ChEMBL,1,inhibitor
INHA,ISONIAZID,ChEMBL,1,inhibitor
HTR2B,METHYSERGIDE MALEATE,ChEMBL,1,inhibitor
CHRM1,ETHOPROPAZINE HYDROCHLORIDE,ChEMBL,1,inhibitor
PTGER2,ALPROSTADIL,ChEMBL,1,agonist
HTR1A,METHYSERGIDE MALEATE,ChEMBL,1,agonist
GRIN2A,DEXTROMETHORPHAN HYDROBROMIDE,ChEMBL,1,inhibitor
HTR2A,TRIFLUOPERAZINE HYDROCHLORIDE,ChEMBL,1,inhibitor
