gene_name,drug_name,interaction_source_db_name,interaction_score,interaction_type
NATP,E6801,GuideToPharmacology,1,agonist
ABCA3,MRS1041,GuideToPharmacology,1,inhibitor
AOC1,XYLAZINE,GuideToPharmacology,1,agonist
ALB,[125I]SAUVAGINE (FROG),GuideToPharmacology,1,agonist
ABCA4,CYPROHEPTADINE HYDROCHLORIDE,GuideToPharmacology,1,inhibitor
ABCA1,N(6)-CYCLOHEXYLADENOSINE,GuideToPharmacology,1,agonist
CPT1B,FR122047,GuideToPharmacology,1,inhibitor
FMO2,COMPOUND 9 [PMID: 3514912],GuideToPharmacology,1,inhibitor
AQP3,R116031,GuideToPharmacology,1,inhibitor
ANK3,GR 196429,GuideToPharmacology,1,agonist
AMD1,UR-PG131A,GuideToPharmacology,1,agonist
APBB1,FILOREXANT,GuideToPharmacology,1,inhibitor
AMD1,QUETIAPINE FUMARATE,GuideToPharmacology,1,inhibitor
CTRB1,HSD1590,GuideToPharmacology,1,inhibitor
ACTG1,CXCL12-(1-17),GuideToPharmacology,1,agonist
C9,CARBENOXOLONE,GuideToPharmacology,1,inhibitor
ABCA3,I-ABOPX,GuideToPharmacology,1,inhibitor
SLC25A4,DCG-IV,GuideToPharmacology,1,agonist
DCC,MARIMASTAT,GuideToPharmacology,1,inhibitor
DCK,TP0556351,GuideToPharmacology,1,inhibitor
BBS1,AFT-II,GuideToPharmacology,1,inhibitor
ABCA3,MSX-2,GuideToPharmacology,1,inhibitor
AMY1C,FINGOLIMOD-PHOSPHATE,GuideToPharmacology,1,agonist
EEF1G,NIK INHIBITOR 12F,GuideToPharmacology,1,inhibitor
CDH13,KETANSERIN,GuideToPharmacology,1,inhibitor
SLC25A6,MPEP,GuideToPharmacology,1,modulator
FRA2G,COMPOUND 11 [PMID: 16413183],GuideToPharmacology,1,inhibitor
HPGD,DALCETRAPIB,GuideToPharmacology,1,inhibitor
ABCB7,HEAT (BE2254),GuideToPharmacology,1,inhibitor
APOF,NMRA-140,GuideToPharmacology,1,inhibitor
SHROOM2,SRIF-28,GuideToPharmacology,1,agonist
ANXA4,NPY-(2-36) (PIG),GuideToPharmacology,1,agonist
AXL,SLC-391,GuideToPharmacology,1,inhibitor
ATP3,H2O2,GuideToPharmacology,1,activator
ABCC6,"D(CH2)5[TYR(ME)2,THR4,TYR-NH29]OVT",GuideToPharmacology,1,inhibitor
DPP6,M4205,GuideToPharmacology,1,inhibitor
DMP1,RESIQUIMOD,GuideToPharmacology,1,agonist
A2M,DIHYDROERGOTAMINE MESYLATE,GuideToPharmacology,1,agonist
ALDH2,APOMORPHINE,GuideToPharmacology,1,agonist
FFAR3,BUTYRIC ACID,GuideToPharmacology,1,agonist
ANOP1,YM298198,GuideToPharmacology,1,modulator
ANK2,AGOMELATINE,GuideToPharmacology,1,agonist
APBB2,MRS2179,GuideToPharmacology,1,inhibitor
ACAT1,"[125I]BH-NMB (HUMAN, MOUSE, RAT)",GuideToPharmacology,1,agonist
ACACB,DF3016A,GuideToPharmacology,1,inhibitor
FOLR1,COMPOUND 1 [PMID: 11425539],GuideToPharmacology,1,inhibitor
GART,DACINOSTAT,GuideToPharmacology,1,inhibitor
COL10A1,RS-25344,GuideToPharmacology,1,inhibitor
DRD2,TIVOZANIB,GuideToPharmacology,1,inhibitor
FRA5B,WX-UK1,GuideToPharmacology,1,inhibitor
AMY2A,ASP4058,GuideToPharmacology,1,agonist
ALPI,HUMAN GIP(3-42)NH2,GuideToPharmacology,1,inhibitor
MSTN,BELINOSTAT,GuideToPharmacology,1,inhibitor
ABL1,IDAZOXAN,GuideToPharmacology,1,inhibitor
ABCA2,ISAM-140,GuideToPharmacology,1,inhibitor
ARF5,LEIUROTOXIN I,GuideToPharmacology,1,blocker
GRIA1,NEOCEPTIN-3,GuideToPharmacology,1,agonist
SLC13A5,ETG-5773,GuideToPharmacology,1,inhibitor
ALOX12P2,M1160,GuideToPharmacology,1,agonist
ANGPT2,PG-901,GuideToPharmacology,1,inhibitor
APOE,AZ8838,GuideToPharmacology,1,inhibitor
AMH,CP-195543,GuideToPharmacology,1,agonist
GRK3,COMPOUND 2 [PMID: 19230660],GuideToPharmacology,1,agonist
AMH,CP-195543,GuideToPharmacology,1,inhibitor
APOC1,PGN-9856,GuideToPharmacology,1,agonist
EPHB3,ILGINATINIB,GuideToPharmacology,1,inhibitor
APEX1,2MESADP,GuideToPharmacology,1,agonist
COL16A1,ASPIRIN,GuideToPharmacology,1,inhibitor
BCL7A,CALCIPOTRIENE,GuideToPharmacology,1,agonist
ALOX15,[125I][TYR4]GHRELIN (HUMAN),GuideToPharmacology,1,agonist
AZF2,TETRAMETHYLAMMONIUM,GuideToPharmacology,1,blocker
MAP3K9,GNE-3511,GuideToPharmacology,1,inhibitor
HP,GNE-7883,GuideToPharmacology,1,inhibitor
A12M3,LUMATEPERONE,GuideToPharmacology,1,inhibitor
ALDH2,SULPIRIDE,GuideToPharmacology,1,inhibitor
ABCA4,NOREPINEPHRINE,GuideToPharmacology,1,agonist
ALDH3A2,WKYMVM,GuideToPharmacology,1,agonist
CXCR5,COMPOUND 47 [PMID: 18800762],GuideToPharmacology,1,inhibitor
DXO,DOSIMERTINIB,GuideToPharmacology,1,inhibitor
FZD6,SAG1.3,GuideToPharmacology,1,agonist
APEX1,2MESADP,GuideToPharmacology,1,agonist
APBB2,ADP&BETA;S,GuideToPharmacology,1,agonist
FRA20B,TOLCAPONE,GuideToPharmacology,1,inhibitor
FCGRT,DX-2507,GuideToPharmacology,1,antibody
SLC25A4,LY341495,GuideToPharmacology,1,inhibitor
CDH16,COMPOUND 9 [PMID: 15615544],GuideToPharmacology,1,inhibitor
APOD,F16357,GuideToPharmacology,1,agonist
CTNND1,PEXMETINIB,GuideToPharmacology,1,inhibitor
CHI3L2,ASPIRIN,GuideToPharmacology,1,inhibitor
DR1,MK-2461,GuideToPharmacology,1,inhibitor
FANCG,GSK'547,GuideToPharmacology,1,inhibitor
ARCN1,BAY 55-9837,GuideToPharmacology,1,agonist
EFNA4,COMPOUND 2 [PMID: 25408830],GuideToPharmacology,1,inhibitor
ABCA3,"CP608,039",GuideToPharmacology,1,agonist
EIF4G1,COMPOUND 18 [PMID: 20873740],GuideToPharmacology,1,inhibitor
ATF4P1,&ALPHA;-BUNGAROTOXIN,GuideToPharmacology,1,inhibitor
COL9A2,ANAGRELIDE HYDROCHLORIDE,GuideToPharmacology,1,inhibitor
AANAT,BRUCINE,GuideToPharmacology,1,modulator
CXCR5,COMPOUND 14 [PMID: 18800762],GuideToPharmacology,1,inhibitor
ABCB7,NOREPINEPHRINE,GuideToPharmacology,1,agonist
ACTA1,CCL23,GuideToPharmacology,1,agonist
FTH1P4,ADENOSINE,GuideToPharmacology,1,inhibitor
FCER1A,COMPOUND 27D [PMID: 28231433],GuideToPharmacology,1,inhibitor
BCL7A,LG190178,GuideToPharmacology,1,agonist
ARF5,B-TPMF,GuideToPharmacology,1,inhibitor
ATR,VERAPAMIL,GuideToPharmacology,1,blocker
F7,TORIN 2,GuideToPharmacology,1,inhibitor
EFNA3,WNY0824,GuideToPharmacology,1,inhibitor
DRD1,ZM-306416,GuideToPharmacology,1,inhibitor
ADH1C,FIRUGLIPEL,GuideToPharmacology,1,agonist
ABCA1,PSB36,GuideToPharmacology,1,inhibitor
ALDH1B1,BQ123,GuideToPharmacology,1,inhibitor
ARVD3,ZN2+,GuideToPharmacology,1,modulator
A12M3,ORG-37684,GuideToPharmacology,1,agonist
A12M4,SB 221284,GuideToPharmacology,1,inhibitor
ELAVL1,NG-25,GuideToPharmacology,1,inhibitor
SERPINC1,&ALPHA;-CONOTOXIN GI,GuideToPharmacology,1,inhibitor
AQP9,RELCOVAPTAN,GuideToPharmacology,1,inhibitor
LHCGR,[125I]LH,GuideToPharmacology,1,agonist
AAMP,SCH 57790,GuideToPharmacology,1,inhibitor
HOXD11,CW85319,GuideToPharmacology,1,inhibitor
MAP3K9,CEP-1347,GuideToPharmacology,1,inhibitor
FAH,ZM336372,GuideToPharmacology,1,inhibitor
AANAT,ARECAIDINE PROPARGYL ESTER,GuideToPharmacology,1,agonist
F9,RUBOXISTAURIN,GuideToPharmacology,1,inhibitor
BLMH,"ANALOG 3 [VLATTAS ET AL., 1996]",GuideToPharmacology,1,inhibitor
EPHX2,COMPOUND 19A [PMID: 21855335],GuideToPharmacology,1,inhibitor
A12M3,ROXINDOLE,GuideToPharmacology,1,inhibitor
DDX10,BMS-561392,GuideToPharmacology,1,inhibitor
F3,SAR260301,GuideToPharmacology,1,inhibitor
ACE2,COMPOUND 28 [PMID: 18324760],GuideToPharmacology,1,inhibitor
ACAT2,MK-5046,GuideToPharmacology,1,agonist
AANAT,MUSCARINIC TOXIN 7,GuideToPharmacology,1,inhibitor
EREG,E6201,GuideToPharmacology,1,inhibitor
ALPL,DANUGLIPRON,GuideToPharmacology,1,agonist
A1BG,(S)-UH 301,GuideToPharmacology,1,inhibitor
A1BG,[3H]ROBALZOTAN,GuideToPharmacology,1,inhibitor
A2M,"L-775,606",GuideToPharmacology,1,agonist
A12M1,FLUSPIRILENE,GuideToPharmacology,1,inhibitor
A12M2,[3H]LY334370,GuideToPharmacology,1,agonist
A12M2,DIHYDROERGOTAMINE MESYLATE,GuideToPharmacology,1,agonist
A12M2,LASMIDITAN,GuideToPharmacology,1,agonist
A12M2,SERTINDOLE,GuideToPharmacology,1,inhibitor
A12M4,5-CT,GuideToPharmacology,1,agonist
HTR2C,BROMOCRIPTINE,GuideToPharmacology,1,agonist
HTR2C,KETANSERIN,GuideToPharmacology,1,inhibitor
HTR2C,SB 228357,GuideToPharmacology,1,inhibitor
NATP,5-CT,GuideToPharmacology,1,agonist
NATP,SB357134,GuideToPharmacology,1,inhibitor
SERPINA3,LP-44,GuideToPharmacology,1,agonist
SERPINA3,CLOZAPINE,GuideToPharmacology,1,inhibitor
SERPINA3,XANOMELINE,GuideToPharmacology,1,agonist
ABL1,ASCIMINIB,GuideToPharmacology,1,modulator
SERPINA3,ZIPRASIDONE,GuideToPharmacology,1,inhibitor
CREB1,BW B70C,GuideToPharmacology,1,inhibitor
CACNA1S,WP814,GuideToPharmacology,1,inhibitor
FRA10F,K-604,GuideToPharmacology,1,inhibitor
ABL2,PEXMETINIB,GuideToPharmacology,1,inhibitor
HBEGF,TL13-112,GuideToPharmacology,1,inhibitor
GNA12,SORBINIL,GuideToPharmacology,1,inhibitor
HBEGF,CEP-37440,GuideToPharmacology,1,inhibitor
ABCF1,RO-70-0004,GuideToPharmacology,1,inhibitor
ABCF1,KETANSERIN,GuideToPharmacology,1,inhibitor
ABCA4,PHENYLEPHRINE,GuideToPharmacology,1,agonist
ABCA4,RO-70-0004,GuideToPharmacology,1,inhibitor
ABL1,XYLOMETAZOLINE,GuideToPharmacology,1,agonist
ABL2,NOREPINEPHRINE,GuideToPharmacology,1,agonist
BEVI,DROMOSTANOLONE,GuideToPharmacology,1,agonist
ANPEP,COMPOUND I3 [PMID: 23428964],GuideToPharmacology,1,inhibitor
BEVI,METRIBOLONE,GuideToPharmacology,1,agonist
ABAT,IMARADENANT,GuideToPharmacology,1,inhibitor
ABCA1,NAMODENOSON,GuideToPharmacology,1,agonist
ABCA1,CV-1808,GuideToPharmacology,1,agonist
ABCA3,PSB1115,GuideToPharmacology,1,inhibitor
ABCA3,NICARDIPINE,GuideToPharmacology,1,inhibitor
ABCA3,THEOPHYLLINE,GuideToPharmacology,1,inhibitor
ABCA3,MRS1476,GuideToPharmacology,1,inhibitor
EEF1D,AURORA KINASE INHIBITOR II,GuideToPharmacology,1,inhibitor
ACADM,LOSARTAN POTASSIUM,GuideToPharmacology,1,inhibitor
CD69,FUROSEMIDE,GuideToPharmacology,1,inhibitor
ACAT2,"[LEU14, &PSI; 13-14)]BOMBESIN",GuideToPharmacology,1,inhibitor
ASIC2,COMPOUND 8A [PMID: 24900283],GuideToPharmacology,1,agonist
ABO,LEVOBUNOLOL,GuideToPharmacology,1,inhibitor
ABO,PRENALTEROL,GuideToPharmacology,1,agonist
ABO,BUPRANOLOL,GuideToPharmacology,1,inhibitor
ABR,FORMOTEROL FUMARATE,GuideToPharmacology,1,agonist
ACAA1,BUPRANOLOL,GuideToPharmacology,1,inhibitor
EFNA1,ZYBT1,GuideToPharmacology,1,inhibitor
EFNA4,BI-2536,GuideToPharmacology,1,inhibitor
EFNB2,BIIB091,GuideToPharmacology,1,inhibitor
EFNA4,XD1,GuideToPharmacology,1,inhibitor
EFNA4,MOLIBRESIB,GuideToPharmacology,1,inhibitor
GCLC,WNY0824,GuideToPharmacology,1,inhibitor
ASIC1,[DES-ARG10]KALLIDIN,GuideToPharmacology,1,agonist
ASIC1,CHROMAN 28,GuideToPharmacology,1,inhibitor
ASIC1,NPC 18565,GuideToPharmacology,1,inhibitor
BDKRB2,"[HYP3,TYR(ME)8]BK",GuideToPharmacology,1,agonist
ACACB,RIBOSOMAL PROTEIN S19,GuideToPharmacology,1,agonist
ACACB,RPR121154,GuideToPharmacology,1,inhibitor
CPN1,COMPOUND 3 [PMID: 14640538],GuideToPharmacology,1,inhibitor
CYP27B1,"SQ-24,798",GuideToPharmacology,1,inhibitor
DAZ1,AS101,GuideToPharmacology,1,inhibitor
ATP6V0B,ZICONOTIDE,GuideToPharmacology,1,blocker
CACNA1D,FPL64176,GuideToPharmacology,1,activator
FOS,VBY-825,GuideToPharmacology,1,inhibitor
FOLR1,COMPOUND 4G [PMID: 22595175],GuideToPharmacology,1,inhibitor
FOLR2,COMPOUND 23 [PMID: 35944849],GuideToPharmacology,1,inhibitor
ACTA2,[125I]CCL7 (HUMAN),GuideToPharmacology,1,agonist
CCKBR,[3H]L365260,GuideToPharmacology,1,inhibitor
ACTB,BMS COMPOUND 87B,GuideToPharmacology,1,inhibitor
ACTB,LAZUCIRNON,GuideToPharmacology,1,inhibitor
ACTB,CCL24,GuideToPharmacology,1,agonist
CCR4,[125I]CCL27 (HUMAN),GuideToPharmacology,1,agonist
EGR3,SIMUROSERTIB,GuideToPharmacology,1,inhibitor
CPT2,OXAPROZIN,GuideToPharmacology,1,inhibitor
CPT2,CELECOXIB,GuideToPharmacology,1,inhibitor
CPT1B,PIROXICAM-BETA-CYCLODEXTRIN,GuideToPharmacology,1,inhibitor
CPT1B,PHENYLBUTAZONE,GuideToPharmacology,1,inhibitor
ALAS2,UROCORTIN 2,GuideToPharmacology,1,agonist
ACTG1,PLERIXAFOR,GuideToPharmacology,1,inhibitor
EGR4,AMINOPURVALANOL A,GuideToPharmacology,1,inhibitor
CDK4,ABEMACICLIB,GuideToPharmacology,1,inhibitor
CDK4,CROZBACICLIB,GuideToPharmacology,1,inhibitor
CDK4,CDK4 INHIBITOR II,GuideToPharmacology,1,inhibitor
EIF4A1,VTX-11E,GuideToPharmacology,1,inhibitor
CDK4,R547,GuideToPharmacology,1,inhibitor
EIF4EBP1,PALBOCICLIB,GuideToPharmacology,1,inhibitor
EIF4G1,ATUVECICLIB,GuideToPharmacology,1,inhibitor
CPB2,ABIRATERONE ACETATE,GuideToPharmacology,1,inhibitor
CYP2A13,KAEMPHEROL,GuideToPharmacology,1,inhibitor
CPN1,COMPOUND 4D [PMID: 20655626],GuideToPharmacology,1,inhibitor
CYP2C19,COMPOUND 30 [PMID: 22239545],GuideToPharmacology,1,inhibitor
CSHL1,AMINOETHOXYVINYLGLYCINE,GuideToPharmacology,1,inhibitor
APAF1,BNTX,GuideToPharmacology,1,inhibitor
APAF1,FENTANYL CITRATE,GuideToPharmacology,1,agonist
APAF1,ATICAPRANT,GuideToPharmacology,1,inhibitor
APAF1,ENDOMORPHIN-1,GuideToPharmacology,1,agonist
APAF1,BU08028,GuideToPharmacology,1,agonist
CRIP1,DH376,GuideToPharmacology,1,inhibitor
DHODH,S312,GuideToPharmacology,1,inhibitor
ABCD1,SULPIRIDE,GuideToPharmacology,1,inhibitor
ABCD1,(+)-S-14297,GuideToPharmacology,1,inhibitor
ALDH3A1,SKF-76783,GuideToPharmacology,1,agonist
ALDH3A1,CABERGOLINE,GuideToPharmacology,1,agonist
FRZB,POCIREDIR,GuideToPharmacology,1,modulator
EN2,COMPOUND 34 [PMID: 24749861],GuideToPharmacology,1,inhibitor
DXO,JBJ-09-063,GuideToPharmacology,1,modulator
EZH2,GSK343,GuideToPharmacology,1,inhibitor
DXO,PD 174265,GuideToPharmacology,1,inhibitor
DXO,TUCATINIB,GuideToPharmacology,1,inhibitor
BLVRA,NE10790,GuideToPharmacology,1,inhibitor
BLVRA,COMPOUND 31 [PMID: 17963374],GuideToPharmacology,1,inhibitor
CRP,LY2077855,GuideToPharmacology,1,inhibitor
ABCD2,FASIGLIFAM,GuideToPharmacology,1,agonist
FCGRT,ZILTIVEKIMAB,GuideToPharmacology,1,antibody
ABCD2,PALMITATE,GuideToPharmacology,1,agonist
ABCD2,TUG-424,GuideToPharmacology,1,agonist
DPYSL2,COMPOUND 8H [PMID: 22765894],GuideToPharmacology,1,inhibitor
DPYSL2,TINENGOTINIB,GuideToPharmacology,1,inhibitor
DPYSL3,ERDAFITINIB,GuideToPharmacology,1,inhibitor
GAPDHP67,ANHYDROUS TACROLIMUS,GuideToPharmacology,1,inhibitor
SLC26A3,TASURGRATINIB,GuideToPharmacology,1,inhibitor
ONECUT1,SLF,GuideToPharmacology,1,inhibitor
DRD1,PEXMETINIB,GuideToPharmacology,1,inhibitor
DRD3,COMPOUND 8H [PMID: 22765894],GuideToPharmacology,1,inhibitor
ALDH3B2,WKYMVM,GuideToPharmacology,1,agonist
DRD3,PEXMETINIB,GuideToPharmacology,1,inhibitor
ALDH9A1,N36,GuideToPharmacology,1,agonist
APOC2,BIMATOPROST (FREE ACID FORM),GuideToPharmacology,1,agonist
GABRA1,L838417,GuideToPharmacology,1,modulator
GABRA1,FLUMAZENIL,GuideToPharmacology,1,modulator
ARNT,ZK93426,GuideToPharmacology,1,modulator
ARNT,TBPS,GuideToPharmacology,1,blocker
ALOX12P2,[125I]SPEXIN-1,GuideToPharmacology,1,agonist
ALOX12P2,M1145,GuideToPharmacology,1,agonist
CD14,NNC-711,GuideToPharmacology,1,inhibitor
GUCY1A2,GROWTH DIFFERENTIATION FACTOR 15,GuideToPharmacology,1,agonist
GRIA3,NBQX,GuideToPharmacology,1,inhibitor
ASS1P2,PIRACETAM,GuideToPharmacology,1,modulator
ASS1P8,DOMOIC ACID,GuideToPharmacology,1,agonist
GRIN2C,"SERINE, D-",GuideToPharmacology,1,agonist
GRIN2B,LY233053,GuideToPharmacology,1,inhibitor
GRIN2B,HOMOQUINOLINIC ACID,GuideToPharmacology,1,agonist
GRIN2B,[3H]MDL105519,GuideToPharmacology,1,inhibitor
ASS1P14,HOMOQUINOLINIC ACID,GuideToPharmacology,1,agonist
DLX3,ATRIAL NATRIURETIC PEPTIDE,GuideToPharmacology,1,agonist
DHFR,ANUMIGILIMAB,GuideToPharmacology,1,antibody
GDF2,CHR-3996,GuideToPharmacology,1,inhibitor
GAPDHP1,TRICHOSTATIN A,GuideToPharmacology,1,inhibitor
GARS1,APICIDIN,GuideToPharmacology,1,inhibitor
GARS1,RESMINOSTAT,GuideToPharmacology,1,inhibitor
MSTN,TRICHOSTATIN A,GuideToPharmacology,1,inhibitor
GDF9,BELINOSTAT,GuideToPharmacology,1,inhibitor
GAS1,J27644,GuideToPharmacology,1,inhibitor
GAS1,RESMINOSTAT,GuideToPharmacology,1,inhibitor
GPLD1,LONAFARNIB,GuideToPharmacology,1,inhibitor
AMD1,DIMETHYLHISTAPRODIFEN,GuideToPharmacology,1,agonist
AMD1,(&PLUSMN;)-TRANS-H2-PAT,GuideToPharmacology,1,inhibitor
HRH3,JNJ-39758979,GuideToPharmacology,1,inhibitor
GMFA,BMS-823778,GuideToPharmacology,1,inhibitor
PRDM1,COMPOUND 1A [PMID: 2153213],GuideToPharmacology,1,inhibitor
PRDM1,"COMPOUND 6A [PATIL ET AL., 1989]",GuideToPharmacology,1,inhibitor
PRDM1,SIMVASTATIN,GuideToPharmacology,1,inhibitor
ADH1C,COMPOUND 3A [PMID: 21444206],GuideToPharmacology,1,agonist
ADARB2,COMPOUND 15 [PMID: 25313322],GuideToPharmacology,1,agonist
ADCY3,AM281,GuideToPharmacology,1,inhibitor
XCR1,TRYPTANTHRIN,GuideToPharmacology,1,inhibitor
CSNK2A2,AS1949490,GuideToPharmacology,1,inhibitor
CMR3A,COMPOUND 2E [PMID: 19013076],GuideToPharmacology,1,inhibitor
CRK,ARN19874,GuideToPharmacology,1,inhibitor
APOC3,FR181157,GuideToPharmacology,1,agonist
FOXL2,PICROTOXININ,GuideToPharmacology,1,agonist
EPHB3,FILGOTINIB,GuideToPharmacology,1,inhibitor
NUDT2,U69593,GuideToPharmacology,1,agonist
DRD2,MK-2461,GuideToPharmacology,1,inhibitor
DRD2,CABOZANTINIB S-MALATE,GuideToPharmacology,1,inhibitor
DRD2,CENISERTIB,GuideToPharmacology,1,inhibitor
DRD2,ZM-306416,GuideToPharmacology,1,inhibitor
DPT,COMPOUND 8H [PMID: 22765894],GuideToPharmacology,1,inhibitor
ATP5ME,LYSOPHOSPHATIDYLCHOLINE,GuideToPharmacology,1,activator
DPT,SEMAXANIB,GuideToPharmacology,1,inhibitor
ARF6,DC-EBIO,GuideToPharmacology,1,activator
ARF5,UCL1684,GuideToPharmacology,1,inhibitor
ASNSP2,TOLBUTAMIDE,GuideToPharmacology,1,inhibitor
AZGP1,BEPRIDIL,GuideToPharmacology,1,blocker
AZF1,XE991,GuideToPharmacology,1,inhibitor
FRA10D,COMPOUND 5 [PMID: 22533316],GuideToPharmacology,1,inhibitor
KCNQ5,XE991,GuideToPharmacology,1,inhibitor
CTSV,DEFACTINIB,GuideToPharmacology,1,inhibitor
EPS8,COMPOUND 20 [PMID: 30998356],GuideToPharmacology,1,inhibitor
EPS8,GSK2646264,GuideToPharmacology,1,inhibitor
EPHX2,COMPOUND 23 [PMID: 17600705],GuideToPharmacology,1,inhibitor
EPS8,JAK3 INHIBITOR VI,GuideToPharmacology,1,inhibitor
GDI2,PF-9363,GuideToPharmacology,1,inhibitor
GEM,CC-90011,GuideToPharmacology,1,inhibitor
ERVT5,COMPOUND 16 [PMID: 17480064],GuideToPharmacology,1,inhibitor
ANCR,&ALPHA;-MSH,GuideToPharmacology,1,agonist
AMY2B,[125I](3-IODO-TYR13)-MCH,GuideToPharmacology,1,inhibitor
ANG,CORTICOTROPHIN-RELEASING HORMONE,GuideToPharmacology,1,agonist
ANK1,PG-901,GuideToPharmacology,1,agonist
